,theta**4
0,533572.2014874297
1,354910.54877620796
2,-6926.223632050108
3,-55039.027064718146
4,-13076.413096364888
5,-121691.46995353578
6,-129041.03523749218
7,63043.11475951616
8,217665.57029373906
9,5189.3667252285195
10,-10650.307524756978
11,-1708.5849840239293
12,6236.570805355493
